label,message
ham,What time does the movie start tonight?
spam,Limited time offer! Get 80% off on all products. Shop now at reward-center.info
spam,You've been chosen for a mystery cash prize box! Just pay $1000 shipping. Click bit.ly/claim-now
spam,Earn extra $2500/day with this simple trick! Doctors hate it. Click secure-verify.net
spam,URGENT: Your account will be suspended. Verify immediately at reward-center.info
ham,Don't forget to pick up milk and eggs on your way home
ham,The meeting has been rescheduled to 5 PM on Friday
ham,"The train was on time today, made it to work early"
spam,Hot singles in your area want to chat with you! Click claim-prize.co now
ham,"I'm heading to the gym, want to join?"
spam,You have been selected for a FREE gift card! Click secure-verify.net to claim your reward
spam,Limited time offer! Get 80% off on all products. Shop now at bit.ly/claim-now
ham,Please find attached the invoice for last month's services
ham,Just checking in — how did your interview go?
ham,"Just finished the project, sending it over for review now"
ham,Happy birthday! Hope you have a wonderful day
ham,Can you send me the report before 6:30 PM? Thanks!
ham,"The Wi-Fi at the office is down again, IT is looking into it"
spam,Your package could not be delivered. Pay a redelivery fee of $2500 at tinyurl.com/win-big
spam,Final notice: Your subscription payment of $5000 failed. Update card details at secure-verify.net
ham,Let me know if you need help studying for the exam
ham,Can we reschedule our call to 3 PM?
ham,"I left my charger at your place, can I grab it tomorrow?"
spam,Limited time offer! Get 80% off on all products. Shop now at secure-verify.net
spam,Earn extra $2500/day with this simple trick! Doctors hate it. Click bit.ly/claim-now
spam,You have 1 new voicemail from your bank regarding suspicious activity. Call 1-800-555-0199 immediately
spam,Claim your inheritance of $2500 from a distant relative. Contact claim-prize.co with your details
ham,Let me know if you need help studying for the exam
ham,"The Wi-Fi at the office is down again, IT is looking into it"
ham,Please find attached the invoice for last month's services
ham,Don't forget to pick up milk and eggs on your way home
spam,"Dear customer, your OTP has expired, click tinyurl.com/win-big to verify your identity and avoid account lock"
ham,"Hey, are we still meeting for lunch at 6:30 PM tomorrow?"
spam,Your loan of $10000 has been APPROVED. No credit check required. Apply now at reward-center.info
spam,Your package could not be delivered. Pay a redelivery fee of $5000 at reward-center.info
ham,"Hey, are we still meeting for lunch at 8 PM tomorrow?"
ham,"The train was on time today, made it to work early"
ham,"The Wi-Fi at the office is down again, IT is looking into it"
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,"Just finished the project, sending it over for review now"
spam,"Congrats! You are eligible for a vacation package. To claim, send your bank details to bit.ly/claim-now"
spam,You've been chosen for a mystery luxury cruise box! Just pay $5000 shipping. Click tinyurl.com/win-big
spam,FREE entry into our $500 weekly prize draw! Text WIN to enter now
ham,Reminder: your dentist appointment is at 5 PM tomorrow
spam,URGENT: Your account will be suspended. Verify immediately at bit.ly/claim-now
ham,Can we reschedule our call to 5 PM?
ham,Please find attached the invoice for last month's services
ham,Can we reschedule our call to 9 AM?
ham,"I'm heading to the gym, want to join?"
ham,Reminder: your dentist appointment is at 6:30 PM tomorrow
ham,"The Wi-Fi at the office is down again, IT is looking into it"
spam,You have 1 new voicemail from your bank regarding suspicious activity. Call 1-888-222-4567 immediately
ham,"Mom said dinner is ready, come downstairs"
spam,Your loan of $2500 has been APPROVED. No credit check required. Apply now at bit.ly/claim-now
spam,Act now! Only 60% seats left for our FREE webinar that will make you rich
ham,Happy birthday! Hope you have a wonderful day
ham,Just checking in — how did your interview go?
ham,Can you proofread this email before I send it to the manager?
spam,Congratulations! You've won a laptop worth $250. Claim now at tinyurl.com/win-big
ham,Don't forget to pick up milk and eggs on your way home
spam,You have been selected for a FREE laptop! Click tinyurl.com/win-big to claim your reward
ham,Can you review my code before I push it to the main branch?
spam,FREE entry into our $5000 weekly prize draw! Text WIN to enter now
spam,You have been selected for a FREE gift card! Click reward-center.info to claim your reward
ham,"I'm heading to the gym, want to join?"
spam,You have been selected for a FREE cash prize! Click claim-prize.co to claim your reward
ham,"Hey, are we still meeting for lunch at 3 PM tomorrow?"
spam,Your loan of $250 has been APPROVED. No credit check required. Apply now at tinyurl.com/win-big
ham,Let's catch up over coffee this weekend if you're free
spam,You have 1 new voicemail from your bank regarding suspicious activity. Call 1-888-222-4567 immediately
spam,WINNER!! As a valued customer you have been selected to receive a $5000 gift card. Call now
ham,Can you send me the report before 3 PM? Thanks!
spam,You have 1 new voicemail from your bank regarding suspicious activity. Call 1-877-333-9911 immediately
spam,IRS Notice: You owe $750 in unpaid taxes. Pay immediately at tinyurl.com/win-big to avoid arrest
ham,The meeting has been rescheduled to 10 AM on Friday
spam,You've been chosen for a mystery smartwatch box! Just pay $750 shipping. Click tinyurl.com/win-big
spam,You have been selected for a FREE laptop! Click secure-verify.net to claim your reward
spam,Act now! Only 70% seats left for our FREE webinar that will make you rich
ham,Can you proofread this email before I send it to the manager?
spam,Your package could not be delivered. Pay a redelivery fee of $500 at claim-prize.co
spam,Claim your inheritance of $10000 from a distant relative. Contact claim-prize.co with your details
spam,Final notice: Your subscription payment of $5000 failed. Update card details at secure-verify.net
ham,What time does the movie start tonight?
spam,Limited time offer! Get 80% off on all products. Shop now at claim-prize.co
ham,"Great job on the presentation today, the client loved it"
spam,Hot singles in your area want to chat with you! Click secure-verify.net now
ham,Don't forget to pick up milk and eggs on your way home
spam,Limited time offer! Get 80% off on all products. Shop now at bit.ly/claim-now
ham,"Hey, are we still meeting for lunch at 8 PM tomorrow?"
spam,You have been selected for a FREE laptop! Click bit.ly/claim-now to claim your reward
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,Congratulations! You've won a cash prize worth $500. Claim now at bit.ly/claim-now
spam,IRS Notice: You owe $2500 in unpaid taxes. Pay immediately at secure-verify.net to avoid arrest
spam,Your loan of $500 has been APPROVED. No credit check required. Apply now at bit.ly/claim-now
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,Hot singles in your area want to chat with you! Click secure-verify.net now
spam,WINNER!! As a valued customer you have been selected to receive a $1000 gift card. Call now
ham,"Mom said dinner is ready, come downstairs"
ham,"Our flight got delayed by two hours, landing around 6:30 PM"
ham,"Our flight got delayed by two hours, landing around noon"
ham,"The train was on time today, made it to work early"
spam,You've been chosen for a mystery luxury cruise box! Just pay $750 shipping. Click bit.ly/claim-now
spam,IRS Notice: You owe $10000 in unpaid taxes. Pay immediately at secure-verify.net to avoid arrest
spam,URGENT: Your account will be suspended. Verify immediately at tinyurl.com/win-big
ham,Reminder: your dentist appointment is at 5 PM tomorrow
spam,WINNER!! As a valued customer you have been selected to receive a $5000 gift card. Call now
spam,Your package could not be delivered. Pay a redelivery fee of $10000 at claim-prize.co
ham,"Our flight got delayed by two hours, landing around 3 PM"
spam,CASH PRIZE ALERT: You've won $750 in our lucky draw. Claim within 24 hours at bit.ly/claim-now
spam,Congratulations! You've won a cash prize worth $5000. Claim now at bit.ly/claim-now
spam,URGENT: Your account will be suspended. Verify immediately at claim-prize.co
ham,Reminder: your dentist appointment is at 10 AM tomorrow
spam,"Dear customer, your OTP has expired, click tinyurl.com/win-big to verify your identity and avoid account lock"
spam,Hot singles in your area want to chat with you! Click claim-prize.co now
ham,"The Wi-Fi at the office is down again, IT is looking into it"
spam,Hot singles in your area want to chat with you! Click tinyurl.com/win-big now
spam,Limited time offer! Get 70% off on all products. Shop now at bit.ly/claim-now
ham,What time does the movie start tonight?
spam,Hot singles in your area want to chat with you! Click claim-prize.co now
spam,FREE entry into our $2500 weekly prize draw! Text WIN to enter now
spam,Earn extra $10000/day with this simple trick! Doctors hate it. Click secure-verify.net
spam,WINNER!! As a valued customer you have been selected to receive a $250 gift card. Call now
spam,Claim your inheritance of $10000 from a distant relative. Contact claim-prize.co with your details
spam,Get rich quick! Earn $1000 per week working from home. No experience needed. Reply YES
ham,Happy birthday! Hope you have a wonderful day
ham,"The train was on time today, made it to work early"
